Date,Temperature,Humidity,CH4,CO2,H2S,NH3,pH,RED,GREEN,BLUE,Temp_x_Humidity,CO2_x_CH4,NH3_x_H2S,CO2_per_CH4,NH3_per_H2S,log_CO2,log_CH4,log_H2S,log_NH3,Temperature2,Humidity2,hour,minute,roll_mean_CO2,roll_mean_CH4,is_acid,is_base,is_neutral,rgb_to_white,Grayscale,Hue,delta_CO2,delta_RED
2025-05-17 23:35:00,32.4,89.5,0.74,407.46,1.09,0.02,10.1,159.0,0.0,45.0,2899.7999999999997,301.5204,0.021800000000000003,550.6208775393546,0.018348607019626588,6.012393990289012,0.5538851132264376,0.7371640659767197,0.019802627296179712,1049.76,8010.25,23,35,407.46,0.74,0,1,0,344.00726736509506,52.671,343.0188679245283,,
2025-05-17 23:36:00,32.4,89.7,0.69,357.75,0.95,0.02,10.21,150.0,0.0,30.0,2906.2799999999997,246.84749999999997,0.019,518.4775094528849,0.021052609418305876,5.882625767073831,0.5247285289349821,0.6678293725756554,0.019802627296179712,1049.76,8046.09,23,36,382.605,0.715,0,1,0,355.9143155311402,48.27,348.0,-49.70999999999998,-9.0
2025-05-17 23:37:00,32.4,90.0,0.7,377.2,0.95,0.02,10.05,162.0,0.0,51.0,2916.0,264.03999999999996,0.019,538.8563730623242,0.021052609418305876,5.935423156224357,0.5306282510621704,0.6678293725756554,0.019802627296179712,1049.76,8100.0,23,37,380.8033333333333,0.71,0,1,0,339.5438116061019,54.251999999999995,341.1111111111111,19.44999999999999,12.0
2025-05-17 23:38:00,32.4,90.1,0.72,395.13,0.96,0.02,10.14,152.0,0.0,44.0,2919.24,284.49359999999996,0.0192,548.7909044570771,0.020833311631967052,5.981742440209746,0.5423242908253617,0.6729444732424258,0.019802627296179712,1049.76,8118.009999999999,23,38,384.385,0.7124999999999999,0,1,0,346.6338125457469,50.464,342.63157894736844,17.930000000000007,-10.0
2025-05-17 23:39:00,32.5,90.3,0.68,355.71,0.86,0.02,10.16,153.0,0.0,36.0,2934.75,241.8828,0.0172,523.1021719085707,0.023255786911875683,5.876923126734986,0.5187937934151675,0.6205764877251099,0.019802627296179712,1056.25,8154.089999999999,23,39,378.65,0.706,0,1,0,351.269127593075,49.851,345.88235294117646,-39.420000000000016,1.0
2025-05-17 23:40:00,32.5,90.5,0.67,350.84,0.83,0.02,10.15,154.0,0.0,36.0,2941.25,235.0628,0.0166,523.6410094910306,0.024096356510413842,5.863176526806451,0.5128236264286639,0.6043159668533294,0.019802627296179712,1056.25,8190.25,23,40,367.32599999999996,0.692,0,1,0,350.98005641346634,50.15,345.97402597402595,-4.8700000000000045,1.0
2025-05-17 23:41:00,32.5,90.7,0.68,363.52,0.83,0.02,10.21,150.0,0.0,37.0,2947.75,247.1936,0.0166,534.5874491361042,0.024096356510413842,5.898581419627926,0.5187937934151675,0.6043159668533294,0.019802627296179712,1056.25,8226.49,23,41,368.47999999999996,0.69,0,1,0,351.53093747208084,49.068,345.2,12.680000000000007,-4.0
2025-05-17 23:42:00,32.5,90.8,0.65,396.12,0.87,0.02,10.1,153.0,0.0,44.0,2951.0,257.478,0.0174,609.4144470546968,0.022988479323586983,5.984238502016242,0.5007752879124893,0.6259384308664953,0.019802627296179712,1056.25,8244.64,23,42,372.26399999999995,0.68,0,1,0,346.33798521097856,50.763,342.7450980392157,32.60000000000002,3.0
2025-05-17 23:43:00,32.5,90.9,0.65,378.21,0.82,0.02,10.12,153.0,0.0,39.0,2954.25,245.8365,0.016399999999999998,581.860643291318,0.024390214158275417,5.938090141341167,0.5007752879124893,0.598836501088704,0.019802627296179712,1056.25,8262.810000000001,23,43,368.88,0.6660000000000001,0,1,0,349.40663989111596,50.193,344.70588235294116,-17.910000000000025,0.0
2025-05-17 23:44:00,32.5,91.0,0.65,365.52,0.78,0.02,10.09,149.0,0.0,34.0,2957.5,237.588,0.015600000000000001,562.3375964036977,0.02564099276795799,5.904053090097013,0.5007752879124893,0.5766133643039938,0.019802627296179712,1056.25,8281.0,23,44,370.842,0.66,0,1,0,353.6976109616801,48.42699999999999,346.30872483221475,-12.689999999999998,-4.0
